"Ad Set Name",Day,"Ad Set ID","Delivery Status","Delivery Level","Relevance Score","Campaign Name","CPM (Cost per 1,000 Impressions)",Reach,Impressions,"CTR (Link Click-Through Rate)","CPC (Cost per Link Click)","Amount Spent (USD)","Result Type","Cost per Result","Landing Page Views","Adds to Cart","Website Adds to Cart","Checkouts Initiated","Website Checkouts Initiated","Adds of Payment Info","Website Adds of Payment Info","Link Clicks","Website Purchases","Website Purchases Conversion Value","Website Purchase ROAS (Return on Ad Spend)","Reporting Starts","Reporting Ends"
"SG_shopping_1128 - ahaold-gif",2018-11-28,23843063811640116,inactive,adset,,ERL2-shopify-1125-newTest,13.12820513,572,585,1.7094017094017,0.768,7.68,"Website Purchases",,10,2,2,1,1,,,10,,,,2018-11-28,2018-11-28
SG_ERLvisitors30d_1203,2018-12-04,23843070490210116,active,adset,,ERL2-shopify-1129-retarget,10.94573643,540,645,2.6356589147287,0.41529412,7.06,"Website Purchases",7.06,13,6,6,4,4,,,17,1,94,13.31444759,2018-12-04,2018-12-04
"SG_engaged_1112 - aha1110",2018-11-12,23843039158860116,inactive,adset,,ERL2-shopify-test-1019,6.99702676,966,1009,3.5678889990089,0.19611111,7.06,"Website Purchases",,34,5,5,4,4,,,36,,,,2018-11-12,2018-11-12
"SG_shopping_1112 - aha1110-INS",2018-11-12,23843039159140116,inactive,adset,,ERL2-shopify-test-1019,6.17152962,1126,1131,2.3872679045093,0.25851852,6.98,"Website Purchases",,20,,,,,,,27,,,,2018-11-12,2018-11-12
"EUgood_headphone&brands_1130 - aha1",2018-11-30,23843066311820116,inactive,adset,,ERL2-shopify-1130-EUtest,8.51758794,796,796,2.5125628140704,0.339,6.78,"Website Purchases",,17,1,1,,,,,20,,,,2018-11-30,2018-11-30
"US_ERL_addtocart1%_1123-aha - schedule",2018-11-23,23843056678770116,inactive,adset,,ERL2-shopify-1023-USbasicopy,14.24947146,467,473,2.1141649048626,0.674,6.74,"Website Purchases",,7,,,,,,,10,,,,2018-11-23,2018-11-23
ID_adopter_engaged_1128,2018-11-28,23843063926950116,inactive,adset,,ERL2-shopify-1029-SouthEastAsia-test,2.53748558,2537,2601,0.9996155324875,0.25384615,6.6,"Website Purchases",,16,1,1,,,,,26,,,,2018-11-28,2018-11-28
"JP_indiegogo1%_1126 - aha",2018-11-26,23843060336300116,inactive,adset,,ERL2-shopify-test-1019,12.00729927,527,548,1.6423357664234,0.73111111,6.58,"Website Purchases",,9,,,,,,,9,,,,2018-11-26,2018-11-26
"SG_earlyadopter_1126 - ahaold - newpic",2018-11-27,23843060586660116,inactive,adset,,ERL2-shopify-1125-newTest,12.71966527,463,478,0.83682008368201,1.52,6.08,"Website Purchases",,4,,,,,,,4,,,,2018-11-27,2018-11-27
MY_ERLpayment1%_1031,2018-11-11,23843015234420116,inactive,adset,,ERL2-shopify-1029-SouthEastAsia-test,6.77890011,848,891,3.030303030303,0.2237037,6.04,"Website Purchases",,18,1,1,1,1,,,27,,,,2018-11-11,2018-11-11
