"Reporting Starts","Reporting Ends","Ad Set Name","Ad Set ID",Impressions,"CPM (Cost per 1,000 Impressions) (USD)","CTR (Link Click-Through Rate)","Link Clicks","CPC (Cost per Link Click) (USD)","Landing Page Views",Budget,"Budget Type","Amount Spent (USD)","Website Purchases","Cost per Purchase (USD)","Website Purchase ROAS (Return on Ad Spend)","Website Purchases Conversion Value"
2018-02-27,2018-02-27,"otherEU2_3T_0226_ERLADCT5%  2",23842721150340761,3877,3.66778437,0.69641475367552,27,0.52666667,21,40,Daily,14.22,,,,
2018-02-27,2018-02-27,"Survey_AUS_0224  3",23842721365530761,1456,16.76510989,0.68681318681319,10,2.441,9,40,Daily,24.41,,,,
2018-02-27,2018-02-27,otherEU_3T_0226_ERLADCT5%,23842721150300761,2210,7.67420814,0.90497737556561,20,0.848,19,40,Daily,16.96,,,,
2018-02-27,2018-02-27,"Allbackers_otherEU2_0226-local1-2% - Copy",23842722117210761,551,5.55353902,0.18148820326679,1,3.06,1,40,Daily,3.06,,,,
2018-02-27,2018-02-27,ES_onlineshopping_0226_,23842721352180761,8508,2.75035261,0.99905970850964,85,0.27529412,70,30,Daily,23.4,,,,
2018-02-27,2018-02-27,Allbackers_UK_0226-WW1%,23842722117120761,941,10.04250797,0.63761955366631,6,1.575,7,30,Daily,9.45,1,9.45,5.18518519,49
2018-02-27,2018-02-27,"US_3T_0226_ERLADCT5% - Copy",23842721157770761,1512,18.14153439,1.3227513227513,20,1.3715,18,40,Daily,27.43,,,,
2018-02-27,2018-02-27,"AllBackers3%_AUS_0224  2",23842721365410761,1062,20.16007533,0.56497175141243,6,3.56833333,5,40,Daily,21.41,,,,
2018-02-27,2018-02-27,RU_onlineshopping_0226,23842721352240761,6237,3.55138688,1.0902677569344,68,0.32573529,63,30,Daily,22.15,,,,
2018-02-27,2018-02-27,"RU_onlineshopping_0226 - 2",23842721352170761,5418,4.14544112,0.77519379844961,42,0.5347619,37,30,Daily,22.46,,,,
2018-02-27,2018-02-27,"Surveryemail_MY_0226-dingshi - WW3%",23842721240260761,6734,2.88684289,0.6979506979507,47,0.41361702,37,350,Lifetime,19.44,,,,
2018-02-27,2018-02-27,Allbackers_SEA_0226-WW1%,23842722117090761,4837,1.90820757,0.45482737233823,22,0.41954545,12,30,Daily,9.23,,,,
2018-02-27,2018-02-27,"US_3T_0225_ERLADCT5%_ios - HvsW - Copy",23842720707970761,3341,11.93355283,1.1972463334331,40,0.99675,36,40,Daily,39.87,1,39.87,1.22899423,49
2018-02-27,2018-02-27,Asia_ADDCARTLAL_1231_003,23842722060100761,1205,8.58921162,0.66390041493776,8,1.29375,6,30,Daily,10.35,,,,
2018-02-27,2018-02-27,"otherEU_3T_0224_ERLADCT5% - HvsW",23842720446800761,7913,8.88664223,0.87198281309238,69,1.01913043,57,75,Daily,70.32,1,70.32,0.69681456,49
2018-02-27,2018-02-27,Thailand_SurveyEmail_1230_004,23842722060010761,4715,2.18663839,0.38176033934252,18,0.57277778,10,30,Daily,10.31,,,,
2018-02-27,2018-02-27,"US_3T_0226_ERLADCT5%_ios  2 - dingshi",23842721193100761,1682,14.56599287,1.1890606420927,20,1.225,20,400,Lifetime,24.5,,,,
2018-02-27,2018-02-27,"Asia_ERLPurchase3%_0120-0208 exJP",23842722059890761,3098,3.40219496,0.35506778566817,11,0.95818182,7,30,Daily,10.54,1,10.54,4.64895636,49
2018-02-27,2018-02-27,"AU_onlineshopping_0226 - MB",23842721383840761,3983,6.07582224,0.82852121516445,33,0.73333333,28,30,Daily,24.2,,,,
2018-02-27,2018-02-27,IL_onlineshopping_0226,23842721352160761,58,2.75862069,,,,,30,Daily,0.16,,,,
2018-02-27,2018-02-27,CA_onlineshopping_0226_,23842721352250761,4568,4.99562172,1.6199649737303,74,0.30837838,64,30,Daily,22.82,,,,
2018-02-27,2018-02-27,CA_Survey2%_0109,23842722060410761,408,15.29411765,1.7156862745098,7,0.89142857,7,30,Daily,6.24,,,,
2018-02-27,2018-02-27,"TW_onlineshopping_0226 - Copy",23842722085030761,4430,3.81941309,1.2189616252822,54,0.31333333,45,50,Daily,16.92,,,,
2018-02-27,2018-02-27,Topcities_ADDCARTLAL_1231_tech,23842722059780761,244,21.35245902,2.0491803278689,5,1.042,3,30,Daily,5.21,,,,
2018-02-27,2018-02-27,PT_onlineshopping_0226_,23842721352280761,93,1.61290323,1.0752688172043,1,0.15,1,30,Daily,0.15,,,,
2018-02-27,2018-02-27,US_NewPurchase_1231,23842722059770761,495,21.61616162,0.80808080808081,4,2.675,3,60,Daily,10.7,,,,
2018-02-27,2018-02-27,"ES_3T_0226_ERLADCT5% - dingshi",23842721194060761,1268,7.81545741,0.63091482649842,8,1.23875,7,400,Lifetime,9.91,,,,
2018-02-27,2018-02-27,"erlpurchase5%_UK_0224_android - Copy",23842722117290761,1913,6.77469942,0.7318348144276,14,0.92571429,9,40,Daily,12.96,,,,
